0,6.240760713305718,0
200,5.288384017481958,0
400,2.4810207449906447,0
600,5.861010627663918,0
800,1.5266882270108808,0
1000,5.440789579185819,0
1200,5.601619032831133,0
1400,4.8749714913735,0
1600,5.634885416650228,0
1800,4.413995750774737,0
2000,5.160287123310271,0
2200,5.788308154693525,0
2400,2.255036578729209,0
2499,3.152560744918488,0
0,2.4367052143256016,0,0
200,6.00459503422605,0,0
400,4.931354310681859,0,0
600,4.264534401479046,0,0
800,2.703005537009695,0,0
1000,5.484130312648864,0,0
1200,5.952648746264363,0,0
1400,3.8030731748447035,0,0
1600,4.778118610469666,0,0
1800,4.757352843699293,0,0
2000,6.425620103848841,0,0
2200,1.949058578264931,0,0
2400,5.684491423098136,0,0
2499,5.354297939778505,0,0
